state,type,title,url,description,subject,is_valid_url,is_state,is_valid
California,LRCA,Proposition 5,"https://ballotpedia.org/California_Proposition_5,_Lower_Supermajority_Requirement_to_55%25_for_Local_Bond_Measures_to_Fund_Housing_and_Public_Infrastructure_Amendment_(2024)",Lower the vote threshold from 66.67% to 55% for local bond measures to fund housing projects and public infrastructure,,1,1,1
California,LRCA,Proposition 6,"https://ballotpedia.org/California_Proposition_6,_Remove_Involuntary_Servitude_as_Punishment_for_Crime_Amendment_(2024)",Remove involuntary servitude as punishment for a crime from the state constitution,,1,1,1
Colorado,LRSS,"Excise Tax on Firearms Dealers, Manufacturers, and Ammunition Vendors Measure","https://ballotpedia.org/Colorado_Excise_Tax_on_Firearms_Dealers,_Manufacturers,_and_Ammunition_Vendors_Measure_(2024)","Levy a 6.5% excise tax on firearms and ammunition manufacturing and sales to be imposed on firearms dealers, manufacturers, and ammunition vendors and appropriating the revenue to the Firearms and Ammunition Excise Tax Cash Fund to be used to fund crime victim services programs, education programs, and mental and behavioral health programs for children and veterans",,1,1,1
Colorado,LRCA,Independent Judicial Discipline Adjudicative Board Amendment,https://ballotpedia.org/Colorado_Independent_Judicial_Discipline_Adjudicative_Board_Amendment_(2024),Creates an independent judicial discipline adjudicative board and create rules for the judicial discipline process,,1,1,1
Colorado,LRCA,Initiative and Referendum Filing and Judicial Retention Filing Deadlines Amendment,https://ballotpedia.org/Colorado_Initiative_and_Referendum_Filing_and_Judicial_Retention_Filing_Deadlines_Amendment_(2024),Change deadlines for filing initiative and referendum petition signatures and judicial retention notice deadlines to remove one week in order to allow one extra week for the secretary of state to certify ballot order and content and election officials' deadline to transmit ballots,,1,1,1
Colorado,CISS,"Prohibit Hunting of Mountain Lion, Bobcat, and Lynx Initiative","https://ballotpedia.org/Colorado_Prohibit_Hunting_of_Mountain_Lion,_Bobcat,_and_Lynx_Initiative_(2024)","Prohibit trophy hunting, defined as ""intentionally killing, wounding, pursuing, or entrapping a mountain lion, bobcat, or lynx; or discharging or releasing any deadly weapon at a mountain lion, bobcat, or lynx""",,1,1,1
Colorado,LRCA,Property Tax Exemption for Veterans with Individual Unemployability Status Amendment,https://ballotpedia.org/Colorado_Property_Tax_Exemption_for_Veterans_with_Individual_Unemployability_Status_Amendment_(2024),Expands the property tax exemption for veterans with a disability to veterans with individual unemployability status,,1,1,1
Colorado,CICA,Property Tax Revenue Cap Initiative,https://ballotpedia.org/Colorado_Property_Tax_Revenue_Cap_Initiative_(2024),Cap the property tax revenue to 4% growth above the total statewide property tax revenue collected in the previous year and require statewide voter approval to retain revenue above the cap,,1,1,1
Colorado,LRCA,Remove Constitutional Same-Sex Marriage Ban Amendment,https://ballotpedia.org/Colorado_Remove_Constitutional_Same-Sex_Marriage_Ban_Amendment_(2024),"Remove the provision of the state constitution that says ""Only a union of one man and one woman shall be valid or recognized as a marriage in this state""",,1,1,1
Colorado,LRCA,Remove Right to Bail in First Degree Murder Cases Amendment,https://ballotpedia.org/Colorado_Remove_Right_to_Bail_in_First_Degree_Murder_Cases_Amendment_(2024),Remove the right to bail in cases of first degree murder when the proof is evident or the presumption is great,,1,1,1
Colorado,LRSS,Retain Sports Betting Tax Revenue for Water Projects Measure,https://ballotpedia.org/Colorado_Retain_Sports_Betting_Tax_Revenue_for_Water_Projects_Measure_(2024),Allow the state to retain tax revenue collected above $29 million annually from the tax on sports betting proceeds,,1,1,1
